Continent,Country,Year,Life Expectancy,Gender,BMI,Blood Pressure,Cholesterol,Lung Cancer,Liver Cancer,Stomach Cancer,Population,Population Growth
Americas,Bahamas,1992,67.6,women,27.4,129,5.33,6.45,4.55,8.46,134112,1.959949519
Asia,Bahrain,1992,71.9,women,26.5,136,5.24,12.8,3.45,7.17,220762,2.530734326
Asia,Bangladesh,1992,59.3,women,18.9,123,4.46,2410,429,2290,52327001,2.299067242
Americas,Barbados,1992,69.4,women,27.6,127,5.08,8.46,8.9,18.6,136326,0.362945676
Europe,Belarus,1992,64.3,women,26.1,132,5.38,558,124,1850,5391323,-0.05624396
Europe,Belgium,1992,72.9,women,25,128,5.74,1090,254,972,5146098,0.375611415
Americas,Belize,1992,68.4,women,27.3,121,4.83,2.81,4.69,4.81,96371,1.690426194
Africa,Benin,1992,52.9,women,22.1,129,4.43,45,154,98,2728985,3.397433274
Asia,Bhutan,1992,54.1,women,21.2,123,4.47,4.46,2.36,10.6,260057,0.027309163
Europe,Bosnia and Herzegovina,1992,66.9,women,25.3,133,4.86,263,79,205,2143847,-2.919110089
Africa,Botswana,1992,57.4,women,24.6,132,4.77,25.8,13.5,14.7,710328,2.713864307
Americas,Brazil,1992,62.4,women,24.7,130,4.85,4490,2070,4470,77616878,1.754029747
Europe,Bulgaria,1992,67.7,women,25.5,132,5.3,501,305,810,4412014,-0.900717973
Africa,Burkina Faso,1992,48.1,women,20.4,127,4.26,59.4,267,228,4750007,2.683183286
Africa,Burundi,1992,46.1,women,20.2,130,4.29,41.9,106,147,2902148,2.23708847
Asia,Cambodia,1992,51.9,women,20.3,116,4.36,236,106,317,4963376,3.480414641
Africa,Cameroon,1992,50.1,women,22.8,126,4.55,148,421,252,6282243,2.952350081
Americas,Canada,1992,74.5,women,25.3,123,5.43,5430,314,1850,14239459,1.242471494
Africa,Central African Republic,1992,45.9,women,20.6,129,4.47,43.9,61.2,85.7,1501302,2.783003754
Africa,Chad,1992,45.9,women,20.1,125,4.33,45.7,162,118,3201439,3.205375357
Americas,Chile,1992,71.3,women,25.5,128,5.12,524,253,974,6978336,1.640886741
Asia,China,1992,68,women,22.1,123,4.26,82800,77800,110000,587548393,1.158533084
Americas,Colombia,1992,64.6,women,24.9,125,5.02,944,629,1890,17477266,2.029001785
Africa,Comoros,1992,56.1,women,21.6,129,4.5,2.57,5.69,5.11,217446,2.932530497
Americas,Costa Rica,1992,73.5,women,24.9,123,4.86,56.7,53.9,216,1631974,2.673194571
Europe,Croatia,1992,69,women,24.8,134,5.29,463,116,595,2438979,-0.542879885
Americas,Cuba,1992,72.9,women,25.1,126,4.93,905,305,266,5359996,0.597844427
Asia,Cyprus,1992,74.8,women,24.9,128,5.41,21.2,6.57,21.1,395247,2.319254028
Europe,Denmark,1992,72.5,women,24.1,126,5.66,1310,118,335,2619272,0.295225616
Africa,Djibouti,1992,55.4,women,23,130,4.87,2.28,6.95,5,305676,1.344738413
Americas,Dominican Republic,1992,66.2,women,24.2,128,4.57,148,105,113,3683372,1.93437119
Americas,Ecuador,1992,67.4,women,25.8,126,4.88,148,213,645,5329709,2.339182859
Africa,Egypt,1992,63,women,27.4,125,4.77,626,1070,791,29162579,2.110803604
Americas,El Salvador,1992,61.1,women,25.2,121,4.69,79,80.2,226,2778783,1.477027846
Africa,Equatorial Guinea,1992,47.6,women,21.1,131,4.56,6,8.71,11.5,223907,2.958528185
Africa,Eritrea,1992,48.8,women,19.6,121,4.25,14.3,36.7,43.7,113048,-0.285696897
